"Filip Lopusiewicz,325138757,15.090,,66,WC 37,33,World Cup - Round III  Matchday 2,17/03/2025,90,11,-1,4.5,5,-1,4.5,5.5,-1.0,-1.0,5.0,-1.0,-1.0,5.5,24.04.2023 boczny_obronca (90'),Polska,26.04.2023"
"Kazimierz Banbura,319504381,16.079,,122,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,5,6,4,5.5,5,-1.0,5.0,6.0,4.0,-1.0,-1.0,24.04.2023 pomocnik (90'),Polska,26.04.2023"
"Michal Trzewiczek,317705935,16.108,,136,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,5,4.5,3.5,4.5,5.5,-1.0,5.0,-1.0,-1.0,-1.0,5.5,24.04.2023 stoper (90'),Polska,26.04.2023"
"Gustaw Klos,318397289,16.096,,129,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,2.5,3,5,6,7,-1.0,-1.0,-1.0,5.0,6.0,-1.0,24.04.2023 pomocnik (90'),Polska,26.04.2023"
"Aleksander Polowniak,326987502,15.101,,24,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,5,-1,-1,-1,-1,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,24.04.2023 stoper (90'),Polska,26.04.2023"
"Antoni Dluzak,327835613,15.073,,3,WC 37,37,World Cup - Round IV  Matchday 3,04/04/2025,90,13,-1,-1,-1,3,-1,-1,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,24.04.2023 pomocnik (90'),Polska,26.04.2023"
"Jaroslaw Staporski,323283657,15.110,T,87,WC 37,29,World Cup - Round II  Matchday 4,24/02/2025,90,8,-1,4.5,-1,3.5,5,-1,-1.0,4.5,-1.0,-1.0,-1.0,-1.0,24.04.2023 stoper (90'),Polska,26.04.2023"
"Jaroslaw Zoch,324595608,16.045,H,59,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,3.5,4,-1,5.5,6.5,-1.0,3.5,-1.0,-1.0,5.5,-1.0,24.04.2023 skrzydlowy (90'),Polska,26.04.2023"
"Jurek Bos,324743523,17.000,,17,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,-1,4,-1,-1,-1,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,11.04.2023 boczny_obronca (90'),Polska,26.04.2023"
"Piotr Kiszczak,326167110,15.098,,45,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,-1,3.5,-1,4.5,6.5,-1.0,-1.0,-1.0,-1.0,4.5,6.5,24.04.2023 napastnik (90'),Polska,26.04.2023"
"Roman Rusinowicz,322096943,16.101,,115,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,2,3,3.5,-1,-1.0,-1.0,2.0,3.0,-1.0,-1.0,20.02.2023 pomocnik (90'),Polska,26.04.2023"
"Sobieslaw Kryst,325270420,16.046,S,52,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,5,-1,-1,-1,-1,-1,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.04.2023 bramkarz (90'),Polska,26.04.2023"
"Terencjusz Lewicki,324894547,16.050,,73,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,-1,3.5,-1,4,-1,-1.0,-1.0,3.5,-1.0,4.0,-1.0,24.04.2023 skrzydlowy (90'),Polska,26.04.2023"
"Wiktor Idzik,321264757,17.032,,108,WC 37,3,Continental Championship  Matchday 1,04/10/2024,89,3,-1,-1,3.5,4.5,4,6,-1.0,-1.0,3.5,4.5,-1.0,-1.0,17.04.2023 pomocnik (90'),Polska,26.04.2023"
"Ernest Kleszyk,324139029,16.026,,66,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,5.5,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.04.2023 bramkarz (70'),Polska,26.04.2023"
"Jakub Kabic,323284382,17.042,Q,80,WC 37,1,Friendly,20/09/2024,89,1,-1,5.5,5.5,4,-1,-1,-1.0,5.5,5.5,-1.0,-1.0,-1.0,24.04.2023 stoper (90'),Polska,26.04.2023"
"Daniel Radzikowski,319695451,16.108,,143,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,5.5,4.5,4,4.5,-1,-1.0,5.5,-1.0,4.0,4.5,-1.0,24.04.2023 skrzydlowy (90'),Polska,26.04.2023"
"Pawel Ciosk,317774386,16.098,,185,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,6,6,-1,4.5,-1,-1.0,6.0,6.0,-1.0,-1.0,-1.0,24.04.2023 boczny_obronca (90'),Polska,26.04.2023"
"Cezary Krusiewicz,307775650,18.065,,234,WC 36,18,World Cup - Round I  Matchday 3,10/05/2024,87,14,-1,3.5,4.5,7,7,5.5,-1.0,-1.0,-1.0,-1.0,5.5,-1.0,18.04.2023 skrzydlowy (90'),Polska,26.04.2023"
"Patryk Kapela,323217889,17.020,,45,WC 37,6,Continental Championship  Matchday 4,14/10/2024,89,5,-1,3.5,-1,5,6.5,6,-1.0,-1.0,-1.0,-1.0,5.5,5.5,24.04.2023 napastnik (90'),Polska,26.04.2023"
"Stanislaw Dluzynski,313161206,18.060,U,206,WC 36,19,World Cup - Round I  Matchday 4,17/05/2024,87,15,-1,-1,-1,7,5,6,-1.0,-1.0,-1.0,5.5,5.0,-1.0,18.04.2023 pomocnik (90'),Polska,26.04.2023"
"Igor Solny,320670390,16.066,,136,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,5.5,6,4,-1,7.5,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,24.04.2023 boczny_obronca (90'),Polska,26.04.2023"
"Zygmunt Kulik,321291707,16.036,,129,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,-1,-1,-1,6,-1,4.5,-1.0,-1.0,-1.0,5.5,-1.0,-1.0,24.04.2023 pomocnik (90'),Polska,26.04.2023"
"Ryszard Reschke,309100248,18.031,H,157,WC 36,23,World Cup - Round I  Matchday 8,14/06/2024,88,3,-1,-1,-1,-1,-1,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,24.04.2023 napastnik (90'),Polska,26.04.2023"
"Aleksander Kidawa,311083150,18.048,,255,WC 36,20,World Cup - Round I  Matchday 5,24/05/2024,87,16,5,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.04.2023 bramkarz (20'),Polska,26.04.2023"
"Nikodem Stonoga,322870836,17.002,,30,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,4.5,-1,6.5,-1,-1,-1.0,4.5,-1.0,5.0,-1.0,-1.0,18.04.2023 stoper (90'),Polska,26.04.2023"
"Lubomysl Lazuga,324449906,16.070,P,3,WC 37,17,World Cup - Round I  Matchday 2,16/12/2024,89,14,-1,-1,-1,5,-1,-1,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,24.04.2023 pomocnik (90'),Polska,26.04.2023"
"Bronislaw Korolewicz,324971626,16.078,H,38,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,2,2.5,-1,6,7,-1.0,2.0,-1.0,-1.0,4.5,-1.0,18.04.2023 skrzydlowy (1'),Polska,26.04.2023"
"Adam Przyszlakowski,326610439,16.109,U,17,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,5,-1,-1,6,-1,-1.0,5.0,-1.0,-1.0,6.0,-1.0,24.04.2023 skrzydlowy (90'),Polska,26.04.2023"
"Piotr Nowotniak,319452256,18.028,,164,WC 36,23,World Cup - Round I  Matchday 8,14/06/2024,88,3,-1,-1,-1,-1,-1,7.5,-1.0,-1.0,-1.0,-1.0,-1.0,5.5,28.03.2023 napastnik (5'),Polska,26.04.2023"
"Arkadiusz Okularczyk,323375698,16.103,,9,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,2,-1,4.5,-1,-1,-1,2.0,-1.0,4.5,-1.0,-1.0,-1.0,25.04.2023 bramkarz (90'),Polska,26.04.2023"
"Bartosz Odziemek,320971914,17.026,,64,WC 37,4,Continental Championship  Matchday 2,07/10/2024,89,4,-1,4,5,5,5,-1,-1.0,-1.0,5.0,5.0,5.0,-1.0,25.04.2023 boczny_obronca (90'),Polska,26.04.2023"
"Dariusz Szurgot,308267631,18.031,,302,WC 36,23,World Cup - Round I  Matchday 8,14/06/2024,88,3,-1,2.5,3,5,5,6,-1.0,2.5,-1.0,4.5,-1.0,6.0,18.04.2023 pomocnik (90'),Polska,26.04.2023"
"Eugeniusz Sokolowski,323463103,16.040,U,92,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,4,4.5,6,6,-1,-1.0,-1.0,-1.0,6.0,6.0,-1.0,25.04.2023 pomocnik (90'),Polska,26.04.2023"
"Fryderyk Zeman,310775823,18.026,H,228,WC 36,23,World Cup - Round I  Matchday 8,14/06/2024,88,3,2,4,4,5,4.5,7,2.0,-1.0,-1.0,-1.0,-1.0,6.5,25.04.2023 napastnik (90'),Polska,26.04.2023"
"Ignacy Gonsior,326380235,16.022,,30,WC 37,24,World Cup - Round I  Matchday 9,31/01/2025,90,4,-1,-1,4.5,5.5,-1,4.5,-1.0,-1.0,4.5,5.5,-1.0,4.5,25.04.2023 pomocnik (90'),Polska,26.04.2023"
"Jakub Kuropatwa,325044951,16.072,Q,16,WC 37,16,World Cup - Round I  Matchday 1,13/12/2024,89,13,-1,-1,-1,4,-1,3.5,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,25.04.2023 pomocnik (90'),Polska,26.04.2023"
"Jerzy Oryszczak,323401702,16.096,T,39,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,5,4,5,-1,-1.0,-1.0,5.0,4.0,5.0,-1.0,25.04.2023 skrzydlowy (90'),Polska,26.04.2023"
"Krystian Woloszczuk,325364011,16.029,,23,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,5,2,-1,-1,1.5,-1,5.0,2.0,-1.0,-1.0,1.5,-1.0,25.04.2023 skrzydlowy (90'),Polska,26.04.2023"
"Maciej Kruczek,326976073,16.097,,2,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,5.5,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.04.2023 boczny_obronca (29'),Polska,26.04.2023"
"Mateusz Pracki,317995732,17.014,P,161,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,-1,3.5,4.5,3,5,5.5,-1.0,-1.0,4.5,-1.0,5.0,5.5,25.04.2023 napastnik (90'),Polska,26.04.2023"
"Miroslaw Sochacki,322914704,17.007,,58,WC 37,8,Continental Championship  Matchday 6,25/10/2024,89,6,-1,5,5.5,4,-1,5.5,-1.0,5.0,-1.0,-1.0,-1.0,5.5,25.04.2023 napastnik (90'),Polska,26.04.2023"
"Tadeusz Walecki,320199688,16.104,,128,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,-1,3.5,5,4.5,5.5,-1.0,-1.0,-1.0,5.0,-1.0,5.0,25.04.2023 boczny_obronca (61'),Polska,26.04.2023"
"Jan Chomczyk,318094420,16.096,,100,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,4,5,6,6,7.5,-1.0,-1.0,-1.0,6.0,-1.0,7.5,21.04.2023 napastnik (90'),Polska,26.04.2023"
"Marian Slabon,321216032,16.030,,135,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,4,4.5,-1,5,7,-1.0,3.5,-1.0,-1.0,-1.0,7.0,21.04.2023 napastnik (90'),Polska,26.04.2023"
"Jozef Rzeszotko,321589594,16.025,U,80,WC 37,24,World Cup - Round I  Matchday 9,31/01/2025,90,4,2,4,5,5.5,5.5,-1,-1.0,-1.0,5.0,5.0,5.5,-1.0,21.04.2023 boczny_obronca (90'),Polska,26.04.2023"
"Gerard Aksamit,322304656,16.069,,84,WC 37,17,World Cup - Round I  Matchday 2,16/12/2024,89,14,-1,4.5,4.5,5.5,-1,5.5,-1.0,4.5,-1.0,5.5,-1.0,-1.0,21.04.2023 stoper (90'),Polska,26.04.2023"
"Florian Jedrusik,325288550,15.111,Q,66,WC 37,29,World Cup - Round II  Matchday 4,24/02/2025,90,8,-1,4,4,4.5,4.5,5.5,-1.0,-1.0,-1.0,4.5,4.5,5.0,21.04.2023 napastnik (90'),Polska,26.04.2023"
"Wieslaw Stano,309209615,18.081,,329,WC 36,15,Continental Championship - Finals,26/04/2024,87,12,-1,4.5,4.5,5,4.5,4,-1.0,-1.0,-1.0,5.0,-1.0,4.0,21.04.2023 pomocnik (90'),Polska,26.04.2023"
"Roman Golata,305992008,18.095,,324,WC 36,12,Continental Championship  Matchday 10,12/04/2024,87,10,-1,6,6,5,4.5,4,-1.0,5.0,4.5,4.0,-1.0,-1.0,12.04.2023 stoper (13'),Polska,26.04.2023"
"Rafal Swiercz,317712758,17.002,T,128,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,-1,3,5.5,4.5,5.5,-1.0,-1.0,-1.0,5.5,4.5,-1.0,21.04.2023 pomocnik (90'),Polska,26.04.2023"
"Tomasz Nafalski,306313828,18.074,,348,WC 36,16,World Cup - Round I  Matchday 1,03/05/2024,87,13,4.5,2,2,-1,-1,-1,4.0,2.0,2.0,-1.0,-1.0,-1.0,01.12.2022 stoper (90'),Polska,26.04.2023"
"Oskar Sarnowski,320053006,16.080,U,104,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,1.5,2.5,2.5,4.5,-1,4,1.0,-1.0,-1.0,4.0,-1.0,4.0,12.04.2023 napastnik (90'),Polska,26.04.2023"
"Dionizjusz Miekus,326925985,17.008,Q,29,WC 37,8,Continental Championship  Matchday 6,25/10/2024,89,6,-1,5.5,-1,-1,-1,-1,-1.0,5.5,-1.0,-1.0,-1.0,-1.0,21.04.2023 stoper (90'),Polska,26.04.2023"
"Jozef Karpinski,324365583,16.065,,51,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,4.5,5.5,4.5,5,-1,-1.0,-1.0,5.5,-1.0,5.0,-1.0,21.04.2023 boczny_obronca (90'),Polska,26.04.2023"
"Juliusz Sadlocha,324275459,16.044,,43,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,5,2.5,-1,-1,-1,-1,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.04.2023 bramkarz (90'),Polska,26.04.2023"
"Karol Marczykiewicz,323700217,16.038,,93,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,-1,5,-1,4,5,5,-1.0,5.0,-1.0,-1.0,4.5,-1.0,21.04.2023 stoper (90'),Polska,26.04.2023"
"Ambrozy Brus,327568961,15.092,,10,WC 37,33,World Cup - Round III  Matchday 2,17/03/2025,90,11,-1,-1,4,-1,-1,6,-1.0,-1.0,4.0,-1.0,-1.0,6.0,24.04.2023 boczny_obronca (90'),Polska,26.04.2023"
"Ariel Holeczek,318181382,16.090,,171,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,4,-1,5.5,6.5,5,-1.0,3.5,-1.0,-1.0,6.5,5.0,24.04.2023 stoper (90'),Polska,26.04.2023"
"Artur Oniszczuk,321345004,16.076,,115,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,3.5,-1,-1,1.5,-1,-1,3.5,-1.0,-1.0,-1.0,-1.0,-1.0,20.04.2023 bramkarz (90'),Polska,26.04.2023"
"Bartlomiej Leszek,322503950,16.102,,101,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,3,-1,4.5,-1,3,-1.0,3.0,-1.0,4.5,-1.0,-1.0,20.04.2023 stoper (90'),Polska,26.04.2023"
"Cyprian Myslinski,326533383,17.007,,35,WC 37,8,Continental Championship  Matchday 6,25/10/2024,89,6,-1,-1,-1,-1,5,-1,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,24.04.2023 skrzydlowy (90'),Polska,26.04.2023"
"Dominik Retka,325438337,16.063,,28,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,1,2.5,-1,-1,-1,-1,1.0,2.5,-1.0,-1.0,-1.0,-1.0,24.04.2023 bramkarz (90'),Polska,26.04.2023"
"Jedrzej Wicherek,324062175,15.111,U,65,WC 37,29,World Cup - Round II  Matchday 4,24/02/2025,90,8,-1,-1,-1,5,4.5,3.5,-1.0,-1.0,-1.0,5.0,4.5,-1.0,24.04.2023 pomocnik (90'),Polska,26.04.2023"
"Klaudiusz Hus,317401098,17.053,,77,WC 37,,Final,,,,-1,-1,-1,6,-1,3,-1.0,-1.0,-1.0,6.0,-1.0,3.0,16.03.2023 napastnik (90'),Polska,26.04.2023"
"Krzysztof Ustupski,320540120,16.089,P,147,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,4.5,4.5,4.5,5,-1,-1.0,4.5,-1.0,4.5,-1.0,-1.0,24.04.2023 stoper (90'),Polska,26.04.2023"
"Michal Dwornik,319907956,16.090,,157,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,1.5,3,-1,3,3.5,4.5,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,13.04.2023 stoper (90'),Polska,26.04.2023"
"Oskar Maslanka,320924345,16.031,,129,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,3.5,3.5,5,4.5,7,-1.0,3.5,3.5,-1.0,-1.0,7.0,24.04.2023 boczny_obronca (90'),Polska,26.04.2023"
"Piotr Krecicki,317206985,17.009,P,203,WC 37,8,Continental Championship  Matchday 6,25/10/2024,89,6,1.5,4,4.5,4,5.5,3.5,-1.0,4.0,4.5,4.0,-1.0,-1.0,20.04.2023 pomocnik (90'),Polska,26.04.2023"
"Przemyslaw Bystrowski,323782377,16.056,,24,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,-1,3.5,-1,4,5,-1,-1.0,3.5,-1.0,4.0,5.0,-1.0,24.04.2023 pomocnik (90'),Polska,26.04.2023"
"Przemyslaw Cieslawski,328015538,15.031,,2,WC 38,3,Continental Championship  Matchday 1,16/05/2025,91,3,-1,2.5,-1,-1,-1,-1,-1.0,2.5,-1.0,-1.0,-1.0,-1.0,24.04.2023 stoper (90'),Polska,26.04.2023"
"Rafal Straczynski,314367692,17.051,H,136,WC 37,,Final,,,,1,2.5,-1,4.5,-1,4,0.5,-1.0,-1.0,4.5,-1.0,4.0,13.03.2023 pomocnik (90'),Polska,26.04.2023"
"Ryszard Kroczynski,322332172,17.030,,108,WC 37,3,Continental Championship  Matchday 1,04/10/2024,89,3,-1,-1,-1,-1,-1,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,4.5,16.03.2023 napastnik (90'),Polska,26.04.2023"
"Zbigniew Starek,324085947,15.095,,45,WC 37,32,World Cup - Round III  Matchday 1,14/03/2025,90,10,-1,-1,-1,3,4,5,-1.0,-1.0,-1.0,3.0,4.0,-1.0,24.04.2023 skrzydlowy (90'),Polska,26.04.2023"
"Zenon Deptala,322476378,16.050,U,58,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,-1,-1,3,4,4.5,-1.0,-1.0,-1.0,3.0,4.0,4.5,24.04.2023 pomocnik (90'),Polska,26.04.2023"
"Andrzej Winski,322462698,16.018,,73,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,-1,-1,4,3.5,4.5,7.5,-1.0,-1.0,-1.0,3.5,-1.0,7.0,22.04.2023 napastnik (90'),Polska,26.04.2023"
"Boguchwal Brzeczkowski,327460393,16.028,,3,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,26.04.2023"
"Dawid Radziwil,324138426,15.094,,10,WC 37,32,World Cup - Round III  Matchday 1,14/03/2025,90,10,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,26.04.2023"
"Feliks Paczesna,317309453,17.014,T,185,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,2,5,5,-1,4.5,4.5,-1.0,4.5,-1.0,-1.0,-1.0,-1.0,22.04.2023 stoper (90'),Polska,26.04.2023"
"Fryderyk Breza,319814106,17.013,Q,157,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,-1,3.5,4,3,4.5,-1,-1.0,3.5,4.0,-1.0,4.0,-1.0,22.04.2023 boczny_obronca (90'),Polska,26.04.2023"
"Jerzy Ziminski,325745148,15.100,,45,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,-1,2.5,4,3,5,-1.0,-1.0,2.5,4.0,3.0,5.0,22.04.2023 napastnik (90'),Polska,26.04.2023"
"Krzysiek Smialy,324438355,16.015,,17,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,3.5,-1,-1,-1,-1,-1,3.5,-1.0,-1.0,-1.0,-1.0,-1.0,15.04.2023 bramkarz (90'),Polska,26.04.2023"
"Marcin Czurak,324138420,16.013,,38,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,-1,-1,3.5,4.5,4,4.5,-1.0,-1.0,3.5,4.5,4.0,4.5,22.04.2023 pomocnik (90'),Polska,26.04.2023"
"Mikolaj Dymsza,322605227,16.094,,101,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,-1,3.5,5,-1,5.5,-1.0,-1.0,3.5,5.0,-1.0,-1.0,22.04.2023 pomocnik (90'),Polska,26.04.2023"
"Pawel Noszka,308628621,18.020,Q,320,WC 36,24,World Cup - Round I  Matchday 9,21/06/2024,88,4,-1,3,-1,4,4.5,7,-1.0,-1.0,-1.0,-1.0,-1.0,5.5,20.04.2023 skrzydlowy (48'),Polska,26.04.2023"
"Przemyslaw Zawadowski,325734692,16.069,U,52,WC 37,17,World Cup - Round I  Matchday 2,16/12/2024,89,14,-1,-1,-1,5.5,-1,6,-1.0,-1.0,-1.0,5.5,-1.0,6.0,22.04.2023 napastnik (90'),Polska,26.04.2023"
"Stanislaw Kolczak,309465911,18.092,,297,WC 36,12,Continental Championship  Matchday 10,12/04/2024,87,10,5,-1,-1,-1,-1,1,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.04.2023 bramkarz (90'),Polska,26.04.2023"
"Vasyl Umanetskyi,327570055,16.015,,24,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,-1,3,-1,4.5,-1,-1,-1.0,3.0,-1.0,4.5,-1.0,-1.0,22.04.2023 pomocnik (90'),Polska,26.04.2023"
"Walery Tos,323375155,16.003,,87,WC 37,28,World Cup - Round II  Matchday 3,21/02/2025,90,7,-1,3.5,4.5,3,5.5,3.5,-1.0,3.5,-1.0,-1.0,4.5,3.5,22.04.2023 skrzydlowy (90'),Polska,26.04.2023"
"Witold Postrach,322150435,16.028,U,59,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,-1,-1,5,5,6,-1.0,-1.0,-1.0,5.0,5.0,6.0,15.04.2023 skrzydlowy (37'),Polska,26.04.2023"
"Andrzej Bawiec,318354365,16.104,Q,169,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,4,5,2.5,5,6,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,26.04.2023 boczny_obronca (90'),Polska,26.04.2023"
"Dymitr Janiszewski,324119281,16.032,H,49,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,2,-1,3,4,5.5,-1.0,2.0,-1.0,3.0,-1.0,-1.0,26.04.2023 stoper (90'),Polska,26.04.2023"
"Edward Siemiejczuk,311491985,17.087,,220,WC 36,34,World Cup - Round III  Matchday 3,09/08/2024,88,11,-1,-1,4.5,3.5,4.5,5.5,-1.0,-1.0,-1.0,-1.0,-1.0,5.5,23.02.2023 napastnik (90'),Polska,26.04.2023"
"Emil Pohl,320819928,16.109,,122,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,-1,-1,-1,-1,4,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,11.01.2023 napastnik (90'),Polska,26.04.2023"
"Emilian Bulenda,320028299,17.000,,94,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,-1,4.5,-1,-1,-1,-1.0,-1.0,4.5,-1.0,-1.0,-1.0,26.04.2023 boczny_obronca (90'),Polska,26.04.2023"
"Ferdynand Zygmunt,326195264,16.021,,45,WC 37,24,World Cup - Round I  Matchday 9,31/01/2025,90,4,-1,-1,-1,4,-1,4.5,-1.0,-1.0,-1.0,4.0,-1.0,4.5,26.04.2023 pomocnik (90'),Polska,26.04.2023"
"Grzegorz Kelm,319634039,16.085,,142,WC 37,14,Continental Championship - Semifinals,02/12/2024,89,12,-1,-1,-1,4,4.5,7,-1.0,-1.0,-1.0,-1.0,4.5,-1.0,26.04.2023 skrzydlowy (90'),Polska,26.04.2023"
"Jaropelk Podlaski,325168272,16.073,,9,WC 37,16,World Cup - Round I  Matchday 1,13/12/2024,89,13,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,26.04.2023"
"Kazimierz Kawecki,318979482,16.089,,148,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,4,-1,4.5,-1,4.5,-1.0,-1.0,-1.0,4.5,-1.0,-1.0,26.04.2023 pomocnik (90'),Polska,26.04.2023"
"Leopold Galazewski,322262554,16.014,P,108,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,-1,4,-1,-1,5.5,6,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,26.04.2023 napastnik (90'),Polska,26.04.2023"
"Lukasz Niedopytalski,316364432,18.007,,164,WC 36,27,World Cup - Round II  Matchday 2,08/07/2024,88,7,4.5,-1,-1,-1,-1,-1,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.02.2023 bramkarz (90'),Polska,26.04.2023"
